book,chapter,token_count
Nehemiah,6,1363
Nehemiah,7,2654
Nehemiah,8,1537
Nehemiah,9,3247
Nehemiah,10,1645
Nehemiah,11,2070
Nehemiah,12,2632
Nehemiah,13,2342
Mark,1,2051
Mark,2,1615
Mark,3,1532
Mark,4,1945
Mark,5,2105
Mark,6,2740
Mark,7,1854
Mark,8,1906
Mark,9,2760
Mark,10,2737
Mark,11,1768
Mark,12,2438
Mark,13,1804
Mark,14,3676
Mark,15,2107
Mark,16,1072
Matthew,1,1170
Matthew,2,1287
Matthew,3,928
Matthew,4,1243
Matthew,5,2453
Matthew,6,2043
Matthew,7,1419
Matthew,8,1749
Matthew,9,1964
Matthew,10,2134
Matthew,11,1595
Matthew,12,2610
Matthew,13,2810
Matthew,14,1527
Matthew,15,1864
Matthew,16,1538
Matthew,17,1482
Matthew,18,1765
Matthew,19,1595
Matthew,20,1673
Matthew,21,2602
Matthew,22,1962
Matthew,23,2027
Matthew,24,2225
Matthew,25,2303
Matthew,26,3790
Matthew,27,3165
Matthew,28,980
Philemon,1,1095
Philippians,1,1589
Philippians,2,1494
Philippians,3,1160
Philippians,4,1248
Acts,1,1531
Acts,2,2368
Acts,3,1446
Acts,4,1799
Acts,5,2135
Acts,6,830
Acts,7,3207
Acts,8,1894
Acts,9,2177
Acts,10,2401
Acts,11,1442
Acts,12,1378
Acts,13,2828
Acts,14,1359
Acts,15,1994
Acts,16,2070
Acts,17,2026
Acts,18,1572
Acts,19,2145
Acts,20,2010
Acts,21,2243
Acts,22,1643
Acts,23,1986
Acts,24,1427
Acts,25,1618
Acts,26,1795
Acts,27,2247
Acts,28,1717
1 Samuel,1,1755
1 Samuel,2,2610
1 Samuel,3,1344
1 Samuel,4,1747
1 Samuel,5,949
1 Samuel,6,1674
1 Samuel,7,1290
1 Samuel,8,1168
1 Samuel,9,2177
1 Samuel,10,1942
1 Samuel,11,1103
1 Samuel,12,2023
1 Samuel,13,1620
1 Samuel,14,3902
1 Samuel,15,2481
1 Samuel,16,1676
1 Samuel,17,3902
1 Samuel,18,1935
1 Samuel,19,1739
1 Samuel,20,3007
1 Samuel,21,1162
1 Samuel,22,1744
1 Samuel,23,2032
1 Samuel,24,1471
1 Samuel,25,3202
1 Samuel,26,2070
1 Samuel,27,936
1 Samuel,28,1941
